alg,iteration,energy
CG,20,-186.50029440377762
CG,21,-186.50398682066896
CG,22,-186.50735676559202
CG,23,-186.51045472003187
CG,24,-186.51332822309655
CG,25,-186.51602233456094
CG,26,-186.51858846820443
CG,27,-186.5210831119008
CG,28,-186.52358418687896
CG,29,-186.5262178449364
CG,30,-186.52922871777253
CG,31,-186.5331622424465
CG,32,-186.53971922969646
CG,33,-186.5570385383229
CG,34,-186.66185570144813
CG,35,-187.1917689140924
CG,36,-187.65335736415705
CG,37,-187.7952214507905
CG,38,-187.87015556266823
CG,39,-187.91140172939959
CG,40,-187.93473603397956
CG,41,-187.94825222985918
CG,42,-187.95627381732822
CG,43,-187.96116844637686
CG,44,-187.96425246584482
CG,45,-187.9662698329048
CG,46,-187.9676463573623
CG,47,-187.96863063707616
CG,48,-187.96936955554975
CG,49,-187.9699517777343
CG,50,-187.97043177029502
CG,51,-187.97084368909083
CG,52,-187.97120925304802
CG,53,-187.97154262179333
CG,54,-187.9718530832821
CG,55,-187.97214680614127
CG,56,-187.9724281330603
CG,57,-187.97269983547392
CG,58,-187.97296400918134
CG,59,-187.97322195372567
CG,60,-187.97347475354837
CG,61,-187.973723001162
CG,62,-187.9739672259709
CG,63,-187.9742078181573
CG,64,-187.97444500339844
CG,65,-187.97467917081838
CG,66,-187.97491016870674
CG,67,-187.97513821289215
CG,68,-187.9753634354002
CG,69,-187.97558586244543
CG,70,-187.97580560937496
CG,71,-187.97602267758162
CG,72,-187.9762371898167
CG,73,-187.97644907991122
CG,74,-187.97665842928728
CG,75,-187.97686529136143
CG,76,-187.97706971645727
CG,77,-187.97727166263041
CG,78,-187.97747119962253
CG,79,-187.97766854484394
CG,80,-187.9778634015683
CG,81,-187.97805594386978
CG,82,-187.97824617699462
CG,83,-187.97843418732282
CG,84,-187.97861993696955
CG,85,-187.97880347691716
CG,86,-187.97898490725396
CG,87,-187.97916414403795
CG,88,-187.9793412537802
CG,89,-187.97951626554237
CG,90,-187.9796893570878
CG,91,-187.97986027870263
CG,92,-187.98002918092135
CG,93,-187.98019609438262
CG,94,-187.9803610593429
CG,95,-187.98052406371085
CG,96,-187.98068522087067
CG,97,-187.98084444819028
CG,98,-187.9810018069782
CG,99,-187.98115746483955
CG,100,-187.98131119685218
CG,101,-187.98146313565155
CG,102,-187.98161332279267
CG,103,-187.98176174700552
CG,104,-187.98190848471336
CG,105,-187.98205350197554
CG,106,-187.98219684335328
CG,107,-187.98233858620785
CG,108,-187.98247866481324
CG,109,-187.98261713511647
CG,110,-187.98275403749682
CG,111,-187.9828893639226
CG,112,-187.9830231479416
CG,113,-187.98315548032957
CG,114,-187.9832862710888
CG,115,-187.98341557950374
CG,116,-187.98354344351765
CG,117,-187.983669855887
CG,118,-187.9837948498227
CG,119,-187.98391853002056
CG,120,-187.98404078320726
CG,121,-187.9841616784367
CG,122,-187.9842812231708
CG,123,-187.98439944387957
CG,124,-187.98451652706365
CG,125,-187.98463220396138
CG,126,-187.98474660877895
CG,127,-187.98485976624897
CG,128,-187.98497170285185
CG,129,-187.98508241451225
CG,130,-187.98519195549557
CG,131,-187.98530030247224
CG,132,-187.98540748740504
CG,133,-187.98551357897998
CG,134,-187.9856185089439
CG,135,-187.9857223272047
CG,136,-187.98582505017856
CG,137,-187.98592670879793
CG,138,-187.98602728819446
CG,139,-187.98612688272624
CG,140,-187.98622540543465
CG,141,-187.98632290610215
CG,142,-187.98641940114948
CG,143,-187.98651492131773
CG,144,-187.9866094547658
CG,145,-187.98670302436614
CG,146,-187.98679572098564
CG,147,-187.98688743830957
CG,148,-187.98697824005347
CG,149,-187.98706812104598
CG,150,-187.98715711054297
CG,151,-187.98724532771837
CG,152,-187.98733258680187
CG,153,-187.98741898895918
CG,154,-187.9875045661194
CG,155,-187.98758930021893
CG,156,-187.98767321612831
CG,157,-187.98775637906948
CG,158,-187.9878387131712
CG,159,-187.98792026375236
CG,160,-187.98800104296998
CG,161,-187.98808112671765
CG,162,-187.98816041990995
CG,163,-187.98823896659206
CG,164,-187.9883167846873
CG,165,-187.98839388778163
CG,166,-187.98847029721742
CG,167,-187.98854599610297
CG,168,-187.98862115403608
CG,169,-187.98869551799658
CG,170,-187.98876921429212
CG,171,-187.98884225786867
CG,172,-187.98891466735438
CG,173,-187.98898642425843
CG,174,-187.98905755989517
CG,175,-187.9891280971762
CG,176,-187.98919800318453
CG,177,-187.98926734213632
CG,178,-187.98933606851773
CG,179,-187.9894042099956
CG,180,-187.98947180600368
CG,181,-187.9895388174429
CG,182,-187.9896052663418
CG,183,-187.98967120971474
CG,184,-187.98973658308665
CG,185,-187.9898014217602
CG,186,-187.98986573424605
CG,187,-187.98992953789798
CG,188,-187.9899928180016
CG,189,-187.99005559925195
CG,190,-187.99011790570762
CG,191,-187.9901797000864
CG,192,-187.9902410705963
CG,193,-187.99030193074276
CG,194,-187.99036232076384
CG,195,-187.99042224894515
CG,196,-187.99048173096264
CG,197,-187.99054075148086
CG,198,-187.9905993348625
CG,199,-187.99065762153646
RMSPROP,0,-179.93064239667427
RMSPROP,1,-182.96534879639444
RMSPROP,2,-184.95703304861513
RMSPROP,3,-186.23754127111937
RMSPROP,4,-187.07889602022095
RMSPROP,5,-187.48946192248428
RMSPROP,6,-187.72542539026512
RMSPROP,7,-187.8709373951388
RMSPROP,8,-187.9617777009247
RMSPROP,9,-188.01536127402386
RMSPROP,10,-188.04479794313153
RMSPROP,11,-188.0596876590772
RMSPROP,12,-188.06405139782555
RMSPROP,13,-188.06636419641694
RMSPROP,14,-188.06771558476197
RMSPROP,15,-188.06904328948502
RMSPROP,16,-188.07023148600928
RMSPROP,17,-188.07112195184493
