alpha,iteration,energy
0.005,72,-76.02695921374719
0.005,73,-76.0269601874064
0.005,74,-76.0269610497958
0.005,75,-76.02696181405494
0.005,76,-76.0269624917128
0.005,77,-76.02696309289288
0.005,78,-76.02696362649164
0.005,79,-76.0269641003342
0.005,80,-76.02696452130645
0.005,81,-76.0269648954739
0.005,82,-76.02696522818202
0.005,83,-76.02696552414626
0.005,84,-76.0269657875279
0.005,85,-76.02696602200166
0.005,86,-76.02696623081559
0.005,87,-76.02696641684194
0.005,88,-76.02696658262225
0.005,89,-76.02696673040609
0.005,90,-76.02696686218735
0.005,91,-76.02696697973228
0.005,92,-76.02696708460739
0.005,93,-76.0269671782026
0.005,94,-76.02696726175205
0.005,95,-76.02696733635106
0.005,96,-76.02696740297348
0.005,97,-76.02696746248562
0.005,98,-76.02696751565713
0.005,99,-76.02696756317232
0.005,100,-76.02696760564078
0.005,101,-76.02696764360512
0.005,102,-76.02696767754878
0.005,103,-76.02696770790227
0.005,104,-76.02696773504927
0.005,105,-76.026967759332
0.005,106,-76.02696778105567
0.005,107,-76.02696780049243
0.005,108,-76.02696781788492
0.005,109,-76.02696783345004
0.005,110,-76.02696784738131
0.005,111,-76.02696785985155
0.005,112,-76.02696787101489
0.005,113,-76.02696788100937
0.005,114,-76.02696788995813
0.005,115,-76.02696789797105
0.005,116,-76.02696790514693
0.005,117,-76.02696791157334
0.005,118,-76.02696791732924
0.005,119,-76.02696792248481
0.005,120,-76.02696792710282
0.005,121,-76.02696793123962
0.005,122,-76.02696793494549
0.005,123,-76.02696793826553
0.02,0,-74.47435398405649
0.02,1,-75.75176251954205
0.02,2,-75.95582135643352
0.02,3,-75.99952133737948
0.02,4,-76.0139570412118
0.02,5,-76.02027117502433
0.02,6,-76.02339359764538
0.02,7,-76.02501889947692
0.02,8,-76.0258874557122
0.02,9,-76.02635997540945
0.02,10,-76.02662092916752
0.02,11,-76.02676709613206
0.02,12,-76.02685011660027
0.02,13,-76.02689792765217
0.02,14,-76.02692583857508
0.02,15,-76.0269423472298
0.02,16,-76.02695223312334
0.02,17,-76.02695822089738
0.02,18,-76.02696188503538
0.02,19,-76.02696414766552
0.02,20,-76.02696555587487
0.02,21,-76.02696643820593
0.02,22,-76.026966994168
0.02,23,-76.02696734613029
0.02,24,-76.02696756980897
0.02,25,-76.0269677124103
0.02,26,-76.02696780355598
0.02,27,-76.02696786193367
0.02,28,-76.02696789938591
0.02,29,-76.02696792344592
0.02,30,-76.02696793891836
0.02,31,-76.02696794887699
0.02,32,-76.02696795529118
0.02,33,-76.02696795942465
0.02,34,-76.02696796208949
0.02,35,-76.0269679638081
0.02,36,-76.0269679641527
0.04,0,-75.75473559990347
0.04,1,-75.99955216326917
0.04,2,-76.02026349348989
0.04,3,-76.02502341823345
0.04,4,-76.02636361425334
0.04,5,-76.02676889198621
0.04,6,-76.02689871157587
0.04,7,-76.02694268087659
0.04,8,-76.02695836464197
0.04,9,-76.02696421104902
0.04,10,-76.02696646674471
0.04,11,-76.02696735915703
0.04,12,-76.02696771839544
0.04,13,-76.02696786468674
0.04,14,-76.02696792470952
0.04,15,-76.02696794945508
0.04,16,-76.02696795968805
0.04,17,-76.0269679639278
0.04,18,-76.02696796418094
0.08,0,-75.99959476721453
0.08,1,-76.02503399340347
0.08,2,-76.02677262491521
0.08,3,-76.02694335867848
0.08,4,-76.0269643385725
0.08,5,-76.02696738515472
0.08,6,-76.02696787012647
0.08,7,-76.02696795058314
0.08,8,-76.02696796415711
0.16,0,-74.87058229409864
0.16,1,-74.87185975604511
0.16,2,-74.87185975604511
0.16,3,-74.87185975604511
0.16,4,-74.87185975604511
0.16,5,-74.87185975604511
0.16,6,-74.87185975604511
0.16,7,-74.87185975604511
0.16,8,-74.87185975604511
0.16,9,-74.87185975604511
0.16,10,-74.87185975604511
0.16,11,-74.87185975604511
0.16,12,-74.87185975604511
